ob_code,obj_id,ra,dec,exptime,priority,resolution,reference_arm,g_ps1,g_ps1_error,r_ps1,r_ps1_error,i_ps1,i_ps1_error,z_ps1,z_ps1_error,y_ps1,y_ps1_error,g_sdss,r_sdss,i_sdss,z_sdss
perseus_031804.6+421306_M_1h,158660495190752859,49.51904256,42.2183567,900.0,9,M,m,32673.810546875,3381271199744.0,82413.71875,3527280689152.0,101578.140625,3501063667712.0,112243.3125,3145719611392.0,99797.5390625,3002755710976.0,85664.2109375,201372.40625,273400.6875,346098.65625
perseus_031805.9+413453_L_1h,157890495244148281,49.52442644,41.58135123,900.0,3,L,r,218152.15625,3621762891776.0,555545.4375,3569439473664.0,830616.0,3449530613760.0,1175437.5,3567467364352.0,1011952.0625,3564839632896.0,440148.875,1081432.75,1642858.25,2257356.25
perseus_031807.7+413121_M_1h,157820495319727662,49.53191345,41.52252705,900.0,8,M,n,150882.875,3519168118784.0,282956.59375,3535737454592.0,484305.8125,3584263979008.0,584520.8125,3578326941696.0,662216.75,3523059646464.0,127057.453125,303389.0625,492492.4375,647441.0625
perseus_031808.4+414516_L_1h,158100495350235911,49.53505278,41.75437412,900.0,2,L,n,nan,nan,nan,nan,nan,nan,nan,nan,27899706.0,3398756204544.0,6188712.5,16128731.0,26644012.0,41190784.0
perseus_031808.4+422246_M_1h,158850495349806180,49.53495131,42.37950047,900.0,5,M,b,38925.984375,3426415280128.0,101372.3515625,3465133686784.0,125649.359375,3501708541952.0,95639.984375,3407846309888.0,nan,nan,108442.546875,213402.671875,227195.453125,325986.6875
perseus_031809.9+413220_L_1h,157840495410557441,49.54112876,41.53892629,900.0,3,L,r,149996.046875,3428940775424.0,347216.125,3484977725440.0,481414.875,3524033249280.0,657597.0625,3547807350784.0,525678.125,3329967521792.0,220800.1875,537031.3125,784873.75,1057790.875
perseus_031812.1+412524_L_1h,157700495501368678,49.55020585,41.42332049,900.0,9,L,b,122157.5546875,3517871816704.0,261697.765625,3575691083776.0,387721.71875,3548460875776.0,482481.09375,3569439473664.0,379839.3125,3470244184064.0,145077.375,324190.625,479954.0,614894.0625
perseus_031812.9+404117_L_1h,156820495537026116,49.5538049,40.68804861,900.0,9,L,r,53886.46875,3370388815872.0,97588.796875,3425153318912.0,176749.96875,3532482412544.0,179622.296875,3468007571456.0,233948.46875,3448895438848.0,71845.5,184331.609375,293224.21875,467734.78125
perseus_031815.6+404141_M_1h,156830495650304325,49.56504336,40.69477753,900.0,5,M,n,115090.640625,3506226855936.0,257750.859375,3571412631552.0,384945.90625,3557295915008.0,407455.1875,3468965707776.0,364922.0625,3483373404160.0,180967.21875,423058.15625,630376.75,986278.5
perseus_031815.8+415128_L_1h,158220495659659772,49.56583949,41.85762732,900.0,1,L,r,nan,nan,5718998.5,3625433956352.0,33533576.0,3627438047232.0,nan,nan,nan,nan,97903896.0,385123456.0,561823616.0,12930044.0
